POINT_ID,Latitude,Longitude,Survey_Date,Extraction_Time,Pipeline_Version,SoilGrids_Version,soil_ok,CRS,phh2o,nitrogen,soc,clay,sand,silt
47882704,47.27427248,16.17535859,06-07-18,2026-07-17T14:57:40.164518,1.0.0,v2.0,1.0,ESRI:54052,5.1,7.7,43.3,25.4,34.6,40.0
47982688,47.1232602,16.28969291,02-06-18,2026-07-17T14:57:40.165235,1.0.0,v2.0,1.0,ESRI:54052,6.0,6.77,39.2,27.9,25.7,46.4
47862690,47.15023795,16.13421178,06-07-18,2026-07-17T14:57:40.145856,1.0.0,v2.0,1.0,ESRI:54052,6.1,6.69,46.6,24.9,25.4,49.8
48022702,47.24569335,16.35750603,06-07-18,2026-07-17T14:57:40.165767,1.0.0,v2.0,1.0,ESRI:54052,6.4,5.82,35.7,25.9,28.3,45.8
48062708,47.29637182,16.41678159,05-07-18,2026-07-17T14:57:43.327199,1.0.0,v2.0,1.0,ESRI:54052,5.7,7.39,43.9,29.2,30.5,40.2
48202738,47.5541021,16.63555874,18-06-18,2026-07-17T14:57:43.428941,1.0.0,v2.0,1.0,ESRI:54052,6.6,6.4,36.8,26.6,35.1,38.2
48122730,47.48881664,16.52059488,18-06-18,2026-07-17T14:57:43.329554,1.0.0,v2.0,1.0,ESRI:54052,5.956521739130436,6.800434782608696,42.06818181818182,26.417391304347824,35.38695652173913,38.19565217391305
48222780,47.92869563,16.71115772,21-05-18,2026-07-17T14:57:43.540594,1.0.0,v2.0,1.0,ESRI:54052,7.0,5.58,48.2,22.5,30.9,46.6
48342774,47.86505893,16.8638522,26-06-18,2026-07-17T14:57:45.731977,1.0.0,v2.0,1.0,ESRI:54052,7.2,4.95,37.5,24.6,36.7,38.7
48442784,47.94615773,17.00926007,11-06-18,2026-07-17T14:57:45.935853,1.0.0,v2.0,1.0,ESRI:54052,7.3,5.45,44.6,29.1,25.2,45.7
