POINT_ID,Latitude,Longitude,Survey_Date,Extraction_Time,Pipeline_Version,Sentinel_Product,Source_Dataset,sentinel1_ok,S1_PRODUCT_ID,S1_ACQUISITION_DATE,VV_mean,VH_mean,VV_VH_ratio,RVI_mean,CRS
47982688,47.1232602,16.28969291,02-06-18,2026-07-17T14:56:30.142601,1.0.0,sentinel-1-grd,Sentinel-1 GRD,1.0,cached,cached,23.581830978393555,20.81476402282715,1.1329376697540283,1.4124798774719238,EPSG:32633
47882704,47.27427248,16.17535859,06-07-18,2026-07-17T14:56:30.142188,1.0.0,sentinel-1-grd,Sentinel-1 GRD,1.0,cached,cached,23.637245178222656,20.505962371826172,1.1527011394500732,1.3316608667373657,EPSG:32633
47862690,47.15023795,16.13421178,06-07-18,2026-07-17T14:56:30.141530,1.0.0,sentinel-1-grd,Sentinel-1 GRD,1.0,cached,cached,24.580955505371094,21.478191375732422,1.1444611549377441,1.3369405269622803,EPSG:32633
48022702,47.24569335,16.35750603,06-07-18,2026-07-17T14:56:30.142936,1.0.0,sentinel-1-grd,Sentinel-1 GRD,1.0,cached,cached,23.172170639038086,19.5328426361084,1.1863183975219727,1.184598445892334,EPSG:32633
48122730,47.48881664,16.52059488,18-06-18,2026-07-17T14:56:30.411131,1.0.0,sentinel-1-grd,Sentinel-1 GRD,1.0,cached,cached,23.154170989990234,20.251501083374023,1.1433310508728027,1.3714838027954102,EPSG:32633
48202738,47.5541021,16.63555874,18-06-18,2026-07-17T14:56:30.411582,1.0.0,sentinel-1-grd,Sentinel-1 GRD,1.0,cached,cached,21.975128173828125,19.5126895904541,1.1261967420578003,1.4508912563323975,EPSG:32633
48062708,47.29637182,16.41678159,05-07-18,2026-07-17T14:56:30.410886,1.0.0,sentinel-1-grd,Sentinel-1 GRD,1.0,cached,cached,23.821687698364258,21.72512435913086,1.0965040922164917,1.5544312000274658,EPSG:32633
48222780,47.92869563,16.71115772,21-05-18,2026-07-17T14:56:30.412260,1.0.0,sentinel-1-grd,Sentinel-1 GRD,1.0,cached,cached,22.177268981933594,19.33110237121582,1.1472325325012207,1.3780748844146729,EPSG:32633
48342774,47.86505893,16.8638522,26-06-18,2026-07-17T14:56:30.491783,1.0.0,sentinel-1-grd,Sentinel-1 GRD,1.0,cached,cached,21.98402214050293,19.098350524902344,1.1510953903198242,1.3717178106307983,EPSG:32633
48442784,47.94615773,17.00926007,11-06-18,2026-07-17T14:56:30.492067,1.0.0,sentinel-1-grd,Sentinel-1 GRD,1.0,cached,cached,22.52113151550293,19.726343154907227,1.141677975654602,1.4035272598266602,EPSG:32633
